fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality_tier
5.4,0.26,0.46,11.6,0.028,41,129,0.9927,3.19,0.67,10.2,2
6.7,0.17,0.47,8.4,0.044,52,146,0.9931,3.28,0.49,11.3,2
6.7,0.31,0.25,9.5,0.085,43,155,0.9954,3.25,0.39,12.1,2
5.8,0.35,0.47,2.0,0.059,14,91,0.9901,3.23,0.47,12.0,2
8.3,0.33,0.17,1.2,0.042,21,24,0.9979,3.49,0.68,9.0,3
6.6,0.47,0.15,2.3,0.086,12,6,0.9982,3.26,0.7,10.1,2
6.9,0.21,0.42,5.4,0.051,62,178,0.9917,3.07,0.49,10.6,2
5.2,0.16,0.43,28.8,0.016,23,179,0.9924,2.99,0.56,11.2,2
7.8,0.3,0.26,45.6,0.054,23,169,0.993,3.11,0.43,11.2,2
6.2,0.21,0.42,11.6,0.077,37,160,0.988,3.5,0.5,12.1,2
6.0,0.08,0.26,3.0,0.036,26,117,0.9979,3.36,0.22,10.9,2
8.6,0.2,0.18,9.7,0.041,11,182,0.9966,3.1,0.49,9.6,2
8.9,0.12,0.24,1.3,0.049,22,68,0.9969,3.51,0.66,10.4,2
6.0,0.39,0.31,4.2,0.016,21,131,0.9918,3.09,0.48,11.2,2
9.4,0.56,0.54,1.5,0.014,19,23,0.9941,3.51,0.69,11.2,2
8.8,0.51,0.0,3.2,0.051,7,9,0.9969,3.37,0.67,12.2,2
6.8,0.26,0.35,1.2,0.035,20,34,0.9963,3.45,0.63,11.2,2
4.6,0.21,0.4,4.3,0.077,34,174,0.9946,3.1,0.45,9.7,2
7.6,0.16,0.22,10.2,0.009,44,60,0.993,3.06,0.36,9.2,2
8.5,0.25,0.15,12.7,0.013,34,50,0.9945,3.35,0.5,10.4,2
6.9,0.47,0.53,1.6,0.101,2,24,0.9935,3.32,0.56,11.5,3
6.3,0.32,0.31,51.7,0.022,18,182,0.9956,3.03,0.59,10.6,2
5.9,0.31,0.36,8.5,0.018,18,111,0.9929,3.22,0.46,10.1,2
5.2,0.36,0.18,7.9,0.048,47,155,0.995,3.42,0.51,10.6,2
7.8,0.42,0.33,19.7,0.077,43,116,0.9889,3.27,0.61,11.7,3
7.3,0.37,0.38,1.2,0.102,25,25,0.9982,2.84,0.88,12.1,2
7.8,0.3,0.3,15.3,0.023,16,144,0.9875,3.17,0.58,10.6,2
7.4,0.42,0.23,6.6,0.107,21,111,0.9993,3.14,0.42,13.5,2
8.3,0.75,0.4,1.2,0.161,26,44,0.9948,3.47,0.73,8.5,3
8.2,0.5,0.53,9.0,0.067,33,154,0.9934,3.19,0.26,10.3,2
6.9,0.12,0.22,12.1,0.087,9,58,1.0004,3.27,0.75,10.3,3
6.7,0.5,0.35,3.8,0.052,54,173,0.9984,3.24,0.51,10.2,2
7.4,0.2,0.49,5.9,0.036,26,110,0.9891,3.31,0.4,9.7,2
7.6,0.27,0.41,5.9,0.044,19,171,0.9955,3.15,0.58,8.9,2
6.7,0.36,0.33,20.4,0.041,22,138,0.9988,3.14,0.27,11.3,2
6.3,0.37,0.33,7.8,0.095,11,85,0.9927,3.09,0.6,12.4,3
4.6,0.7,0.34,1.2,0.049,22,45,0.9969,3.34,0.6,11.4,2
7.8,0.17,0.31,16.4,0.066,35,180,0.9948,3.0,0.73,8.9,2
6.8,0.48,0.14,11.3,0.073,22,199,0.9924,3.1,0.4,10.9,2
7.0,0.42,0.14,16.9,0.035,37,140,0.987,3.14,0.4,13.8,2
4.8,0.37,0.1,16.6,0.077,35,59,0.9929,3.14,0.67,8.2,3
6.7,0.18,0.58,9.2,0.055,54,144,0.9942,3.23,0.37,10.1,2
7.1,0.19,0.11,18.1,0.037,43,92,0.9931,3.19,0.53,9.9,2
8.0,0.67,0.51,1.2,0.058,21,13,0.9929,3.21,0.96,8.4,2
7.5,0.29,0.19,16.7,0.087,60,134,0.991,3.49,0.71,9.3,3
9.9,0.41,0.19,3.8,0.043,16,39,0.9941,3.16,0.33,10.3,3
11.4,0.69,0.2,1.4,0.053,4,48,0.9963,3.28,0.7,10.5,2
6.3,0.37,0.13,2.8,0.048,37,106,0.9968,2.98,0.36,8.9,2
7.3,0.17,0.3,1.7,0.055,28,137,0.9892,3.15,0.43,10.8,3
6.1,0.28,0.37,13.5,0.014,19,127,0.9935,3.34,0.41,8.0,2
6.4,0.08,0.39,5.6,0.052,49,110,0.9959,2.82,0.59,9.4,2
8.2,0.77,0.15,1.2,0.084,16,47,0.9983,3.45,0.69,10.9,2
7.4,0.32,0.38,1.4,0.035,28,120,0.995,3.24,0.25,9.0,2
6.6,0.26,0.17,6.9,0.05,63,98,0.9948,3.48,0.48,10.2,2
7.0,0.32,0.27,8.6,0.051,23,156,0.9973,3.09,0.52,11.7,2
6.0,0.16,0.26,29.6,0.011,24,72,0.9915,3.21,0.48,11.2,1
7.8,0.56,0.3,4.0,0.058,11,69,0.9991,3.14,0.69,9.0,2
8.2,0.66,0.18,1.4,0.073,5,45,0.9966,2.92,0.55,11.2,2
6.6,0.28,0.33,35.6,0.024,8,168,0.9963,3.07,0.56,10.8,2
5.6,0.26,0.45,8.0,0.053,57,95,0.9976,3.01,0.47,12.1,2
4.9,0.59,0.36,3.1,0.102,54,110,0.9954,3.03,0.49,8.9,2
7.3,0.53,0.21,1.2,0.012,5,42,0.9967,3.29,0.87,11.3,2
8.1,0.61,0.45,8.3,0.052,27,96,0.9942,3.34,0.41,10.4,2
6.9,0.11,0.15,3.0,0.009,42,255,0.9982,3.03,0.44,11.5,2
6.6,0.3,0.34,23.1,0.067,44,118,0.995,3.08,0.51,10.3,3
9.6,0.49,0.14,4.1,0.07,15,98,0.9958,3.38,0.64,11.8,2
6.9,0.39,0.05,3.4,0.026,29,86,0.9922,3.09,0.4,11.2,2
7.2,0.28,0.55,1.9,0.114,30,45,0.9982,3.13,0.83,10.1,2
6.3,0.14,0.49,2.7,0.019,40,154,0.9962,3.26,0.4,12.0,2
9.4,0.08,0.25,5.1,0.088,32,116,0.9964,3.21,0.55,11.7,2
7.3,0.21,0.25,52.2,0.107,9,159,0.9921,3.19,0.49,9.2,3
10.1,0.58,0.12,1.2,0.061,33,19,0.9944,3.36,0.81,11.2,2
4.2,0.43,0.32,8.6,0.072,39,121,0.9944,3.2,0.27,8.5,3
8.5,0.39,0.0,1.2,0.142,5,6,0.9935,3.34,0.33,10.6,2
5.7,0.16,0.21,31.9,0.05,54,224,0.9958,3.18,0.63,8.9,2
6.5,0.31,0.14,1.7,0.041,12,155,0.9928,3.18,0.51,10.0,2
9.0,0.08,0.42,4.8,0.066,5,120,0.9941,3.05,0.51,11.5,2
6.3,0.16,0.43,8.1,0.035,8,195,0.9931,3.29,0.54,12.4,2
6.8,0.29,0.31,15.7,0.029,42,171,0.995,3.28,0.38,10.0,2
6.0,0.3,0.38,14.2,0.045,15,122,0.9935,2.9,0.61,8.2,3
5.6,0.18,0.3,27.4,0.034,11,75,0.9996,3.37,0.56,11.8,3
5.9,0.28,0.41,9.4,0.079,55,181,0.9992,3.27,0.55,11.7,3
5.8,0.17,0.46,28.1,0.009,26,217,0.9919,3.05,0.64,11.0,2
6.5,0.22,0.48,9.8,0.064,20,139,0.9874,3.31,0.44,13.3,2
6.4,0.69,0.35,1.2,0.155,1,6,0.994,3.33,0.53,10.2,2
7.6,0.25,0.43,11.3,0.09,43,115,0.9881,3.37,0.46,10.5,2
6.8,0.4,0.3,3.6,0.049,43,174,0.9949,3.16,0.61,11.8,2
6.4,0.26,0.25,53.6,0.011,17,174,0.9948,3.05,0.81,11.7,3
7.1,0.28,0.39,6.5,0.046,35,187,0.9944,2.97,0.45,8.9,2
7.3,0.35,0.18,5.3,0.025,30,184,0.9915,3.28,0.78,11.3,2
7.5,0.32,0.11,3.2,0.09,42,27,0.9975,3.48,0.78,9.7,2
7.0,0.68,0.35,1.5,0.02,14,73,0.9943,3.32,0.67,10.5,2
10.3,0.49,0.25,2.1,0.105,5,57,0.9964,3.32,0.51,10.0,2
7.8,0.09,0.4,5.2,0.046,34,154,0.9948,3.13,0.58,11.0,2
7.9,0.3,0.45,5.1,0.057,32,207,0.9964,3.34,0.46,8.2,2
6.4,0.32,0.17,7.6,0.052,38,209,0.9896,3.42,0.6,9.4,3
6.0,0.37,0.41,8.9,0.057,33,130,0.9912,3.0,0.51,11.3,2
8.8,0.14,0.11,27.7,0.069,57,40,0.9945,3.24,0.76,11.9,2
6.2,0.25,0.48,5.3,0.02,42,126,0.9949,3.3,0.34,11.8,3
11.6,0.48,0.49,1.3,0.108,9,38,0.9959,3.12,1.05,10.5,2
10.0,0.49,0.0,1.7,0.12,16,6,0.9973,3.38,0.92,9.1,2
6.3,0.32,0.23,10.0,0.049,52,151,0.9983,2.94,0.56,8.1,3
7.2,0.46,0.37,4.8,0.049,2,152,0.9929,3.51,0.6,10.9,2
7.0,0.25,0.33,3.1,0.021,22,146,0.9978,3.25,0.49,10.6,2
8.1,0.25,0.45,18.3,0.027,68,58,0.9959,3.12,0.56,12.1,2
6.1,0.19,0.26,1.2,0.045,18,58,0.998,3.24,0.91,9.6,2
8.7,0.26,0.5,14.8,0.058,56,149,0.9885,3.25,0.33,10.8,2
7.0,0.25,0.45,11.7,0.041,36,113,0.9967,3.05,0.52,11.2,2
8.0,0.3,0.27,12.8,0.041,15,132,0.9967,3.56,0.47,9.5,3
6.7,0.25,0.29,2.1,0.038,45,121,0.9951,2.87,0.27,9.5,2
6.4,0.3,0.16,8.7,0.039,30,110,0.9953,3.12,0.48,10.5,2
7.4,0.34,0.35,4.8,0.059,12,156,0.9966,2.99,0.34,10.5,2
5.2,0.08,0.41,4.6,0.052,45,176,0.9967,3.37,0.45,9.6,2
6.3,0.38,0.21,4.6,0.02,57,176,0.9926,3.06,0.42,10.1,2
11.3,0.78,0.27,2.1,0.067,23,89,0.9966,3.32,0.86,10.7,2
5.0,0.24,0.22,21.1,0.044,37,188,0.9921,3.05,0.37,11.3,2
8.8,0.29,0.26,10.1,0.046,69,142,0.9934,3.18,0.35,11.2,2
7.5,0.17,0.23,14.6,0.048,45,160,0.9954,3.29,0.41,10.2,2
11.0,0.49,0.41,2.3,0.048,26,77,0.9953,3.33,0.55,9.0,2
6.5,0.2,0.36,2.0,0.055,49,111,0.9909,3.36,0.56,10.2,3
6.8,0.2,0.38,10.7,0.011,75,153,0.9937,3.12,0.54,8.7,2
7.1,0.31,0.13,7.4,0.032,57,95,0.9963,3.03,0.66,9.8,3
10.4,0.73,0.11,1.9,0.139,28,63,1.0,3.23,0.7,10.8,2
13.7,0.74,0.29,3.0,0.024,10,79,0.9967,3.24,0.75,10.1,2
8.1,0.32,0.39,55.8,0.051,37,132,0.9961,3.14,0.41,10.2,2
8.3,0.28,0.39,46.0,0.088,18,183,0.9941,3.15,0.66,8.6,3
9.3,0.59,0.48,1.2,0.099,1,31,1.0001,3.41,0.69,9.7,2
7.6,0.23,0.3,13.5,0.062,32,124,0.987,3.05,0.47,10.7,2
5.5,0.5,0.41,1.2,0.063,22,60,0.9948,3.49,0.81,9.3,3
7.6,0.29,0.34,5.4,0.058,22,91,0.9938,3.2,0.43,11.5,2
7.3,0.31,0.39,8.2,0.066,5,129,0.9969,3.03,0.57,13.1,2
9.1,0.61,0.35,1.6,0.101,19,40,1.001,3.23,0.44,10.4,2
8.0,0.13,0.44,2.7,0.095,44,210,0.9939,3.19,0.32,10.2,3
11.6,0.36,0.3,2.5,0.012,12,57,1.0,3.2,0.87,9.8,3
5.5,0.36,0.33,2.1,0.047,33,6,0.994,3.33,0.84,12.3,2
7.5,0.15,0.38,12.2,0.074,2,151,0.9941,3.44,0.27,12.2,2
6.5,0.3,0.32,11.7,0.075,13,212,0.9938,3.1,0.72,11.6,3
8.1,0.4,0.45,3.3,0.067,20,145,0.9944,3.35,0.39,11.3,2
7.9,0.12,0.3,0.8,0.073,37,63,0.9954,2.98,0.51,12.3,2
8.0,0.65,0.21,4.4,0.108,15,9,0.9956,3.37,0.88,10.3,2
10.4,0.82,0.41,1.2,0.074,2,43,0.9983,3.25,0.61,10.9,2
4.8,0.29,0.29,9.0,0.047,13,182,0.9976,3.1,0.54,10.9,3
7.3,0.19,0.22,16.0,0.023,27,241,0.9968,3.26,0.55,11.8,2
6.8,0.29,0.34,65.8,0.064,2,130,0.9922,3.21,0.33,11.1,2
7.6,0.52,0.4,10.7,0.048,7,162,0.9934,3.32,0.45,10.6,2
5.3,0.61,0.26,1.2,0.07,23,77,0.9946,3.36,0.6,10.3,1
8.5,0.37,0.22,65.8,0.035,44,90,1.0008,3.05,0.72,10.0,3
9.1,0.6,0.5,1.2,0.087,18,6,0.9968,3.19,0.52,11.7,2
7.7,0.31,0.31,8.2,0.031,19,166,0.9991,3.26,0.5,10.4,3
8.1,0.62,0.18,1.5,0.059,9,68,0.9967,3.12,0.55,10.7,2
6.4,0.3,0.14,7.4,0.057,66,158,0.9946,3.16,0.79,9.6,2
7.3,0.42,0.27,1.6,0.012,13,29,0.9955,3.29,0.85,9.3,2
6.7,0.26,0.14,8.3,0.015,14,167,0.9938,3.29,0.5,10.3,2
10.9,0.61,0.18,1.2,0.084,35,54,0.9948,3.19,0.75,10.9,2
6.9,0.36,0.6,5.1,0.053,36,112,0.9989,3.12,0.56,10.9,2
7.5,0.32,0.47,56.0,0.025,37,141,0.998,3.08,0.38,11.7,2
7.7,0.14,0.3,8.3,0.011,25,130,0.9915,3.11,0.48,12.7,3
8.0,0.45,0.08,1.2,0.108,8,6,0.9957,3.3,0.75,10.9,2
8.8,0.87,0.37,3.3,0.137,1,66,0.9968,3.21,0.77,9.1,2
5.2,0.74,0.23,1.2,0.101,19,86,0.9955,3.3,0.76,12.2,2
6.1,0.18,0.32,14.2,0.015,37,143,0.9977,3.18,0.48,11.7,2
7.1,0.2,0.22,5.6,0.059,26,13,0.9928,3.07,0.42,9.6,3
6.9,0.56,0.4,3.3,0.052,62,192,0.9943,3.46,0.59,11.8,2
6.6,0.17,0.4,4.7,0.04,46,203,0.9963,2.97,0.31,9.4,1
11.6,0.61,0.59,1.9,0.106,2,44,0.9984,3.67,1.11,11.1,2
6.9,0.26,0.68,2.4,0.094,28,23,0.9949,3.11,0.72,11.3,2
7.9,0.39,0.28,4.1,0.049,45,134,0.995,3.13,0.59,9.9,2
7.6,0.32,0.3,7.4,0.062,22,149,0.9963,3.11,0.51,10.7,3
7.5,0.19,0.5,13.2,0.042,32,135,0.995,2.98,0.57,10.6,1
5.4,0.31,0.2,16.5,0.009,13,155,0.9935,3.21,0.36,10.0,2
7.0,0.22,0.28,5.5,0.033,70,113,0.9928,3.02,0.5,11.3,2
6.4,0.3,0.13,48.1,0.05,17,105,0.9974,3.22,0.27,11.0,2
6.2,0.33,0.23,9.6,0.076,44,46,0.9936,3.23,0.71,12.2,2
6.6,0.48,0.28,9.0,0.017,26,178,0.9933,3.33,0.4,9.3,2
6.9,0.32,0.0,6.0,0.037,20,104,0.9923,3.24,0.49,11.3,2
6.5,0.37,0.45,10.8,0.027,32,162,0.9903,3.33,0.4,10.1,2
8.6,0.83,0.2,1.2,0.067,7,84,0.9983,3.38,0.55,9.5,2
7.1,0.42,0.42,1.2,0.084,26,50,0.9951,3.2,0.6,9.3,2
8.1,0.58,0.07,1.2,0.121,30,48,0.9944,3.47,0.52,10.2,2
7.1,0.21,0.4,7.5,0.031,56,107,0.9938,3.26,0.4,9.2,2
6.4,0.38,0.49,16.1,0.022,45,82,0.9926,3.32,0.37,9.1,2
7.3,0.25,0.0,2.3,0.021,8,59,0.9978,3.32,0.84,9.6,2
7.5,0.37,0.44,65.8,0.074,27,71,0.9914,3.04,0.46,10.9,3
5.9,0.15,0.34,8.1,0.047,58,119,0.995,3.1,0.33,10.4,2
7.1,0.2,0.35,7.6,0.053,12,200,0.9953,3.27,0.63,11.9,2
6.2,0.25,0.43,65.8,0.066,2,100,0.9895,3.09,0.56,10.6,2
6.3,0.26,0.44,34.7,0.039,34,139,0.9904,3.15,0.42,9.5,2
6.8,0.16,0.18,27.6,0.05,17,154,0.994,3.11,0.39,8.7,3
6.0,0.19,0.41,5.4,0.031,61,176,0.9946,3.13,0.54,9.8,2
7.0,0.26,0.49,48.1,0.027,22,132,0.992,3.03,0.5,10.9,2
7.6,0.2,0.41,2.5,0.009,19,177,0.9943,3.44,0.52,11.0,2
5.2,0.1,0.23,12.0,0.027,43,190,0.9923,3.06,0.48,10.4,3
7.9,0.66,0.31,3.2,0.073,13,74,0.9986,3.43,0.69,11.0,2
11.0,0.49,0.4,1.9,0.064,28,88,0.9973,3.09,0.68,11.9,2
7.2,0.17,0.17,10.6,0.055,49,132,0.9898,3.02,0.56,11.2,2
8.2,0.47,0.13,1.5,0.08,18,6,0.9962,3.39,0.81,8.5,2
11.4,0.54,0.45,1.2,0.017,15,48,0.996,3.08,0.53,10.3,2
9.2,0.79,0.33,2.0,0.124,6,52,0.999,3.36,0.79,10.0,2
6.9,0.31,0.33,10.8,0.02,46,127,1.0002,3.15,0.53,11.4,2
7.0,0.38,0.31,18.2,0.015,2,118,0.9939,3.15,0.39,10.7,3
6.5,0.21,0.34,17.4,0.032,23,128,0.9936,2.98,0.45,12.4,2
10.0,0.62,0.35,1.5,0.092,19,29,0.9958,3.4,0.61,10.0,2
7.2,0.24,0.27,21.2,0.059,59,186,0.9933,3.29,0.65,9.7,2
5.7,0.21,0.28,3.4,0.048,31,131,0.9933,3.38,0.49,11.4,2
6.0,0.21,0.28,1.5,0.023,11,103,0.9941,3.26,0.45,10.6,2
5.9,0.19,0.45,39.7,0.034,22,123,0.9947,3.02,0.46,10.1,2
4.9,0.14,0.26,28.4,0.046,27,107,0.9952,3.2,0.48,10.9,2
6.1,0.29,0.51,14.6,0.052,14,173,0.9949,3.38,0.7,9.4,2
5.8,0.2,0.48,25.5,0.029,55,202,0.9956,2.92,0.6,12.1,2
6.4,0.3,0.45,4.1,0.02,46,63,0.9942,3.37,0.53,10.0,3
7.1,0.5,0.05,19.1,0.023,51,202,0.9901,3.22,0.36,8.8,3
5.8,0.3,0.47,8.6,0.02,65,106,0.9885,3.08,0.7,12.5,2
6.2,0.43,0.38,1.2,0.045,1,77,0.998,3.66,0.53,10.7,2
8.4,0.24,0.29,8.3,0.107,2,109,0.9902,3.32,0.66,10.7,2
8.2,0.59,0.23,1.2,0.051,23,30,0.9961,3.21,0.4,11.1,2
7.0,0.37,0.35,5.4,0.047,69,103,0.9942,3.0,0.37,9.5,2
8.4,0.23,0.32,20.3,0.034,24,58,0.9961,3.38,0.56,11.2,2
7.2,0.15,0.48,1.4,0.058,13,144,0.9957,3.08,0.44,9.7,3
7.1,0.26,0.27,2.3,0.04,28,9,0.9986,3.62,0.42,11.5,3
6.2,0.21,0.33,5.5,0.065,54,258,0.9985,3.18,0.47,9.8,2
5.6,0.71,0.27,1.2,0.109,30,7,0.9974,3.36,0.45,9.7,2
7.1,0.32,0.27,22.6,0.027,37,185,0.9986,3.38,0.54,10.3,2
6.7,0.28,0.38,2.6,0.056,52,104,0.9964,3.13,0.44,10.2,2
6.4,0.36,0.44,41.1,0.051,55,168,1.0006,2.98,0.37,10.6,2
6.8,0.35,0.32,7.0,0.069,33,187,0.9943,3.47,0.37,10.4,2
6.4,0.44,0.11,5.4,0.078,36,6,0.9948,3.31,0.64,10.3,2
8.2,0.2,0.41,5.0,0.03,47,94,0.9914,2.98,0.5,11.6,2
7.1,0.45,0.23,24.3,0.064,50,126,0.9895,3.16,0.56,9.6,2
7.5,0.47,0.44,2.5,0.012,14,6,0.9971,3.25,0.38,11.2,1
8.7,0.2,0.18,13.6,0.013,37,146,0.9963,3.42,0.53,11.8,3
9.9,0.94,0.19,1.2,0.114,1,65,0.9971,3.35,0.54,10.6,2
8.7,0.61,0.32,1.2,0.155,24,72,0.9976,3.2,0.75,10.2,2
7.5,0.85,0.26,1.2,0.084,16,10,0.9964,3.47,0.53,10.8,2
10.2,0.49,0.42,3.9,0.129,1,59,0.9963,3.37,0.61,10.5,2
7.2,0.12,0.28,7.5,0.035,43,132,0.9938,3.11,0.42,13.1,2
6.8,0.22,0.34,6.0,0.064,51,135,0.9926,3.35,0.56,10.0,1
6.3,0.24,0.35,1.3,0.154,14,77,0.9962,3.43,0.68,9.8,2
8.2,0.43,0.24,1.6,0.075,16,36,0.9966,3.44,0.42,11.1,2
5.7,0.45,0.34,6.3,0.082,23,221,0.9906,2.93,0.42,11.2,2
4.6,0.32,0.1,1.4,0.123,14,94,0.9935,3.21,0.62,9.1,2
11.3,0.28,0.23,1.2,0.09,7,75,0.9973,3.28,0.54,9.1,2
5.9,0.2,0.27,9.7,0.026,38,150,0.9905,3.23,0.35,10.2,2
7.1,0.24,0.15,4.2,0.056,25,175,0.9945,3.06,0.59,11.1,3
7.3,0.25,0.24,9.6,0.056,43,117,0.9934,3.28,0.45,9.8,2
6.6,0.43,0.2,6.0,0.055,22,162,0.9947,3.14,0.59,8.8,2
7.4,0.18,0.12,10.8,0.06,42,129,0.9989,3.28,0.35,10.6,2
5.8,0.19,0.21,15.2,0.074,45,240,0.9925,3.17,0.47,10.6,2
6.7,0.52,0.35,9.3,0.089,19,125,0.9971,3.11,0.6,8.7,2
7.1,0.49,0.15,11.4,0.017,27,205,0.9932,3.09,0.22,12.8,3
8.7,0.33,0.48,7.8,0.03,33,123,0.9956,3.03,0.42,10.9,2
7.2,0.41,0.06,2.7,0.109,20,6,0.9976,3.54,0.61,9.4,3
7.2,0.49,0.41,1.2,0.12,13,44,0.9965,3.27,1.11,10.6,1
7.7,0.3,0.37,2.5,0.024,23,192,0.9918,3.24,0.59,13.4,2
6.2,0.41,0.07,9.1,0.035,17,132,0.9945,3.08,0.52,12.3,3
7.6,0.27,0.28,16.3,0.009,31,188,0.9909,3.0,0.68,8.5,2
5.8,0.35,0.49,5.1,0.058,30,78,0.9943,3.34,0.42,9.6,2
8.5,0.57,0.16,1.9,0.106,25,90,0.9993,3.52,0.7,11.3,2
5.5,0.23,0.44,44.4,0.067,8,202,0.9973,3.13,0.6,9.5,2
6.9,0.15,0.31,23.7,0.031,61,76,0.998,3.24,0.56,11.9,2
6.7,0.25,0.33,10.2,0.038,41,152,0.9928,3.17,0.49,10.8,2
5.9,0.41,0.31,5.8,0.055,20,146,0.9895,3.24,0.34,8.0,2
6.8,0.32,0.32,9.3,0.009,38,193,0.987,3.25,0.44,12.6,2
6.3,0.08,0.26,10.3,0.062,47,128,0.9934,3.4,0.32,10.1,2
7.3,0.34,0.36,17.4,0.077,63,230,0.9911,3.02,0.61,9.7,2
9.8,0.8,0.28,1.2,0.049,21,48,0.9954,3.08,0.88,8.4,2
7.3,0.19,0.11,9.9,0.054,68,145,0.989,3.34,0.53,10.0,2
7.1,0.79,0.34,1.3,0.079,32,21,0.9916,3.22,0.57,9.3,2
6.9,0.43,0.35,5.1,0.059,53,116,0.9936,3.21,0.27,12.0,2
9.2,0.26,0.5,1.2,0.012,24,52,0.9967,3.43,0.58,9.6,2
7.1,0.36,0.38,0.7,0.063,33,150,0.994,3.29,0.43,10.9,2
6.3,0.26,0.2,20.2,0.063,51,141,0.9904,3.31,0.56,12.4,2
6.9,0.28,0.28,23.8,0.07,16,145,0.987,3.14,0.52,12.3,2
6.3,0.13,0.11,18.7,0.05,10,124,0.9975,3.42,0.39,8.0,2
5.1,0.47,0.39,1.5,0.124,12,29,0.9955,3.2,0.42,11.4,2
7.2,0.19,0.24,6.3,0.045,48,127,0.9901,3.13,0.43,12.9,2
10.1,0.46,0.44,1.2,0.084,13,63,0.9973,3.1,0.62,11.1,2
7.0,0.08,0.54,4.5,0.018,37,102,0.9949,3.12,0.55,9.9,3
6.7,0.26,0.2,6.1,0.044,55,185,0.9957,3.0,0.65,9.2,2
9.4,0.61,0.17,1.9,0.104,27,36,0.9985,3.21,0.63,10.3,1
7.5,0.24,0.39,65.8,0.013,35,113,0.9953,3.28,0.46,11.9,2
8.3,0.37,0.31,6.7,0.02,7,192,0.9957,2.94,0.42,10.7,2
6.7,0.33,0.39,9.0,0.055,36,148,0.9973,3.27,0.47,10.2,2
7.0,0.11,0.64,9.9,0.046,45,211,0.9976,2.98,0.4,11.0,2
7.7,0.25,0.45,6.7,0.059,33,143,0.9898,3.51,0.49,8.9,2
7.0,0.4,0.23,5.6,0.047,34,152,0.9952,3.27,0.35,11.1,3
6.8,0.32,0.36,45.9,0.021,31,16,0.9921,3.33,0.55,10.4,2
7.0,0.28,0.26,7.7,0.043,12,159,0.9978,3.02,0.52,10.0,1
5.8,0.43,0.51,3.6,0.085,13,12,0.9946,3.27,0.81,10.2,2
7.9,0.39,0.33,16.2,0.02,4,235,0.993,3.27,0.31,11.9,2
6.6,0.37,0.35,2.3,0.206,39,61,0.9981,3.31,0.74,10.8,2
6.3,0.24,0.07,15.1,0.018,18,201,0.9916,3.15,0.43,11.3,2
5.2,0.23,0.36,23.7,0.065,33,94,0.9946,3.09,0.73,9.1,2
5.9,0.16,0.22,42.2,0.014,30,108,0.9921,3.13,0.51,9.8,2
6.3,0.35,0.05,8.1,0.055,41,155,0.992,3.42,0.46,8.8,2
6.7,0.24,0.46,13.9,0.05,32,89,0.9898,3.26,0.44,9.6,2
7.3,0.68,0.42,3.0,0.049,14,6,0.9935,3.34,0.5,10.4,2
5.4,0.69,0.16,1.2,0.119,3,50,0.9919,3.17,0.59,10.3,2
6.1,0.18,0.48,6.1,0.074,51,184,0.9925,3.04,0.58,11.0,2
7.4,0.24,0.34,12.5,0.066,30,115,0.9946,3.45,0.36,12.3,2
7.5,0.2,0.47,0.6,0.049,18,99,0.9972,3.27,0.53,10.3,2
6.3,0.2,0.28,7.4,0.056,41,103,0.9921,3.39,0.39,11.2,3
7.3,0.26,0.57,9.0,0.047,38,216,0.9918,3.01,0.49,12.6,2
8.3,0.3,0.51,27.8,0.029,14,164,0.9942,3.13,0.56,9.9,3
4.6,0.61,0.28,2.8,0.127,24,85,0.9939,3.28,0.46,10.8,2
11.7,0.47,0.41,1.5,0.012,6,88,0.9992,3.28,0.64,10.4,2
5.9,0.56,0.05,1.2,0.134,43,39,1.0002,3.11,0.64,10.6,2
7.5,0.35,0.35,7.2,0.028,21,82,0.9969,2.92,0.53,9.1,3
6.8,0.46,0.26,8.1,0.045,19,222,0.9968,3.06,0.64,11.6,2
5.9,0.2,0.55,9.3,0.089,2,128,0.9975,3.29,0.33,8.9,3
6.1,0.42,0.3,1.5,0.07,25,61,0.9987,3.42,0.59,10.3,2
7.2,0.29,0.37,2.1,0.047,41,169,0.9916,3.19,0.54,9.9,3
7.8,0.43,0.36,5.3,0.042,32,164,0.998,3.11,0.36,8.8,2
8.0,0.11,0.29,19.4,0.037,60,136,0.9981,3.35,0.43,10.1,3
7.5,0.23,0.52,3.6,0.076,44,70,0.9902,3.11,0.31,9.3,2
11.9,0.47,0.0,1.2,0.07,5,52,0.9963,3.27,0.51,10.0,3
6.7,0.35,0.28,31.5,0.061,37,75,0.9931,3.03,0.42,11.0,2
5.7,0.54,0.22,4.5,0.117,18,30,0.9964,3.28,0.74,10.7,2
7.6,0.34,0.34,18.7,0.009,11,186,0.9957,3.13,0.46,12.2,2
10.5,0.47,0.12,1.7,0.14,5,49,0.9993,3.36,0.33,9.4,2
6.1,0.49,0.58,16.8,0.073,25,134,0.9943,3.02,0.42,12.3,2
8.2,0.5,0.34,1.2,0.075,4,47,0.9953,3.3,0.86,11.0,2
6.5,0.46,0.33,3.9,0.046,30,108,0.9948,3.28,0.38,10.6,2
6.3,0.14,0.44,26.1,0.064,20,108,0.9932,3.17,0.59,8.8,2
7.0,0.3,0.24,2.0,0.014,2,124,0.9899,3.08,0.39,9.4,3
